Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1971-01-04,2.3113,2.3113,2.3113,2.3113
1971-01-05,2.307,2.307,2.307,2.307
1971-01-06,2.3074,2.3074,2.3074,2.3074
1971-01-07,2.3072,2.3072,2.3072,2.3072
1971-01-08,2.3081,2.3081,2.3081,2.3081
1971-01-11,2.3084,2.3084,2.3084,2.3084
1971-01-12,2.3082,2.3082,2.3082,2.3082
1971-01-13,2.3089,2.3089,2.3089,2.3089
1971-01-14,2.3096,2.3096,2.3096,2.3096
1971-01-15,2.309,2.309,2.309,2.309
1971-01-18,2.3076,2.3076,2.3076,2.3076
1971-01-19,2.3063,2.3063,2.3063,2.3063
1971-01-20,2.3089,2.3089,2.3089,2.3089
1971-01-21,2.3102,2.3102,2.3102,2.3102
1971-01-22,2.3094,2.3094,2.3094,2.3094
1971-01-25,2.3104,2.3104,2.3104,2.3104
1971-01-26,2.3093,2.3093,2.3093,2.3093
1971-01-27,2.3086,2.3086,2.3086,2.3086
1971-01-28,2.3085,2.3085,2.3085,2.3085
1971-01-29,2.3074,2.3074,2.3074,2.3074
1971-02-01,2.307,2.307,2.307,2.307
1971-02-02,2.3069,2.3069,2.3069,2.3069
1971-02-03,2.3078,2.3078,2.3078,2.3078
1971-02-04,2.3079,2.3079,2.3079,2.3079
1971-02-05,2.3078,2.3078,2.3078,2.3078
1971-02-08,2.3082,2.3082,2.3082,2.3082
1971-02-09,2.3083,2.3083,2.3083,2.3083
1971-02-10,2.3077,2.3077,2.3077,2.3077
1971-02-11,2.3067,2.3067,2.3067,2.3067
1971-02-16,2.3081,2.3081,2.3081,2.3081
1971-02-17,2.3083,2.3083,2.3083,2.3083
1971-02-18,2.3078,2.3078,2.3078,2.3078
1971-02-19,2.3078,2.3078,2.3078,2.3078
1971-02-22,2.3078,2.3078,2.3078,2.3078
1971-02-23,2.3077,2.3077,2.3077,2.3077
1971-02-24,2.3108,2.3108,2.3108,2.3108
1971-02-25,2.3135,2.3135,2.3135,2.3135
1971-02-26,2.3099,2.3099,2.3099,2.3099
1971-03-01,2.312,2.312,2.312,2.312
1971-03-02,2.3118,2.3118,2.3118,2.3118
1971-03-03,2.3123,2.3123,2.3123,2.3123
1971-03-04,2.3125,2.3125,2.3125,2.3125
1971-03-05,2.3126,2.3126,2.3126,2.3126
1971-03-08,2.3109,2.3109,2.3109,2.3109
1971-03-09,2.3105,2.3105,2.3105,2.3105
1971-03-10,2.3118,2.3118,2.3118,2.3118
1971-03-11,2.3102,2.3102,2.3102,2.3102
1971-03-12,2.3087,2.3087,2.3087,2.3087
1971-03-15,2.3084,2.3084,2.3084,2.3084
1971-03-16,2.3079,2.3079,2.3079,2.3079
1971-03-17,2.3097,2.3097,2.3097,2.3097
1971-03-18,2.3085,2.3085,2.3085,2.3085
1971-03-19,2.308,2.308,2.308,2.308
1971-03-22,2.3081,2.3081,2.3081,2.3081
1971-03-23,2.3082,2.3082,2.3082,2.3082
1971-03-24,2.3083,2.3083,2.3083,2.3083
1971-03-25,2.3075,2.3075,2.3075,2.3075
1971-03-26,2.3073,2.3073,2.3073,2.3073
1971-03-29,2.3073,2.3073,2.3073,2.3073
1971-03-30,2.3077,2.3077,2.3077,2.3077
1971-03-31,2.3078,2.3078,2.3078,2.3078
1971-04-01,2.3078,2.3078,2.3078,2.3078
1971-04-02,2.3075,2.3075,2.3075,2.3075
1971-04-05,2.3079,2.3079,2.3079,2.3079
1971-04-06,2.3085,2.3085,2.3085,2.3085
1971-04-07,2.3064,2.3064,2.3064,2.3064
1971-04-08,2.3056,2.3056,2.3056,2.3056
1971-04-09,2.3063,2.3063,2.3063,2.3063
1971-04-12,2.3066,2.3066,2.3066,2.3066
1971-04-13,2.3077,2.3077,2.3077,2.3077
1971-04-14,2.3085,2.3085,2.3085,2.3085
1971-04-15,2.3072,2.3072,2.3072,2.3072
1971-04-16,2.3074,2.3074,2.3074,2.3074
1971-04-19,2.3049,2.3049,2.3049,2.3049
1971-04-20,2.3058,2.3058,2.3058,2.3058
1971-04-21,2.3064,2.3064,2.3064,2.3064
1971-04-22,2.306,2.306,2.306,2.306
1971-04-23,2.3059,2.3059,2.3059,2.3059
1971-04-26,2.3058,2.3058,2.3058,2.3058
1971-04-27,2.306,2.306,2.306,2.306
1971-04-28,2.3071,2.3071,2.3071,2.3071
1971-04-29,2.3064,2.3064,2.3064,2.3064
1971-04-30,2.3065,2.3065,2.3065,2.3065
1971-05-03,2.3075,2.3075,2.3075,2.3075
1971-05-04,2.3077,2.3077,2.3077,2.3077
1971-05-05,2.2793,2.2793,2.2793,2.2793
1971-05-06,2.2686,2.2686,2.2686,2.2686
1971-05-07,2.2606,2.2606,2.2606,2.2606
1971-05-10,2.2638,2.2638,2.2638,2.2638
1971-05-11,2.2489,2.2489,2.2489,2.2489
1971-05-12,2.2509,2.2509,2.2509,2.2509
1971-05-13,2.2532,2.2532,2.2532,2.2532
1971-05-14,2.2513,2.2513,2.2513,2.2513
1971-05-17,2.2497,2.2497,2.2497,2.2497
1971-05-18,2.2478,2.2478,2.2478,2.2478
1971-05-19,2.257,2.257,2.257,2.257
1971-05-20,2.2727,2.2727,2.2727,2.2727
1971-05-21,2.2687,2.2687,2.2687,2.2687
1971-05-24,2.2665,2.2665,2.2665,2.2665
1971-05-25,2.2531,2.2531,2.2531,2.2531
1971-05-26,2.2479,2.2479,2.2479,2.2479
1971-05-27,2.2544,2.2544,2.2544,2.2544
1971-05-28,2.2566,2.2566,2.2566,2.2566
1971-06-01,2.2439,2.2439,2.2439,2.2439
1971-06-02,2.252,2.252,2.252,2.252
1971-06-03,2.2615,2.2615,2.2615,2.2615
1971-06-04,2.2646,2.2646,2.2646,2.2646
1971-06-07,2.2633,2.2633,2.2633,2.2633
1971-06-08,2.2671,2.2671,2.2671,2.2671
1971-06-09,2.2717,2.2717,2.2717,2.2717
1971-06-10,2.2698,2.2698,2.2698,2.2698
1971-06-11,2.2731,2.2731,2.2731,2.2731
1971-06-14,2.2741,2.2741,2.2741,2.2741
1971-06-15,2.2775,2.2775,2.2775,2.2775
1971-06-16,2.2764,2.2764,2.2764,2.2764
1971-06-17,2.2788,2.2788,2.2788,2.2788
1971-06-18,2.2777,2.2777,2.2777,2.2777
1971-06-21,2.2776,2.2776,2.2776,2.2776
1971-06-22,2.281,2.281,2.281,2.281
1971-06-23,2.2846,2.2846,2.2846,2.2846
1971-06-24,2.283,2.283,2.283,2.283
1971-06-25,2.2806,2.2806,2.2806,2.2806
1971-06-28,2.2821,2.2821,2.2821,2.2821
1971-06-29,2.286,2.286,2.286,2.286
1971-06-30,2.2859,2.2859,2.2859,2.2859
1971-07-01,2.2836,2.2836,2.2836,2.2836
1971-07-02,2.2835,2.2835,2.2835,2.2835
1971-07-06,2.2858,2.2858,2.2858,2.2858
1971-07-07,2.2875,2.2875,2.2875,2.2875
1971-07-08,2.2872,2.2872,2.2872,2.2872
1971-07-09,2.2877,2.2877,2.2877,2.2877
1971-07-12,2.2875,2.2875,2.2875,2.2875
1971-07-13,2.2866,2.2866,2.2866,2.2866
1971-07-14,2.2906,2.2906,2.2906,2.2906
1971-07-15,2.2917,2.2917,2.2917,2.2917
1971-07-16,2.2982,2.2982,2.2982,2.2982
1971-07-19,2.2972,2.2972,2.2972,2.2972
1971-07-20,2.2958,2.2958,2.2958,2.2958
1971-07-21,2.2987,2.2987,2.2987,2.2987
1971-07-22,2.3,2.3,2.3,2.3
1971-07-23,2.3003,2.3003,2.3003,2.3003
1971-07-26,2.3005,2.3005,2.3005,2.3005
1971-07-27,2.303,2.303,2.303,2.303
1971-07-28,2.3009,2.3009,2.3009,2.3009
1971-07-29,2.3039,2.3039,2.3039,2.3039
1971-07-30,2.3031,2.3031,2.3031,2.3031
1971-08-02,2.3034,2.3034,2.3034,2.3034
1971-08-03,2.304,2.304,2.304,2.304
1971-08-04,2.2948,2.2948,2.2948,2.2948
1971-08-05,2.2994,2.2994,2.2994,2.2994
1971-08-06,2.303,2.303,2.303,2.303
1971-08-09,2.3183,2.3183,2.3183,2.3183
1971-08-10,2.3216,2.3216,2.3216,2.3216
1971-08-11,2.3254,2.3254,2.3254,2.3254
1971-08-12,2.3343,2.3343,2.3343,2.3343
1971-08-13,2.3386,2.3386,2.3386,2.3386
1971-08-16,2.3279,2.3279,2.3279,2.3279
1971-08-17,2.3278,2.3278,2.3278,2.3278
1971-08-18,2.2936,2.2936,2.2936,2.2936
1971-08-19,2.2982,2.2982,2.2982,2.2982
1971-08-20,2.2842,2.2842,2.2842,2.2842
1971-08-23,2.2739,2.2739,2.2739,2.2739
1971-08-24,2.2803,2.2803,2.2803,2.2803
1971-08-25,2.2875,2.2875,2.2875,2.2875
1971-08-26,2.2777,2.2777,2.2777,2.2777
1971-08-27,2.2785,2.2785,2.2785,2.2785
1971-08-30,2.2874,2.2874,2.2874,2.2874
1971-08-31,2.2917,2.2917,2.2917,2.2917
1971-09-01,2.2979,2.2979,2.2979,2.2979
1971-09-02,2.3005,2.3005,2.3005,2.3005
1971-09-03,2.2902,2.2902,2.2902,2.2902
1971-09-07,2.3005,2.3005,2.3005,2.3005
1971-09-08,2.2975,2.2975,2.2975,2.2975
1971-09-09,2.2965,2.2965,2.2965,2.2965
1971-09-10,2.3007,2.3007,2.3007,2.3007
1971-09-13,2.3039,2.3039,2.3039,2.3039
1971-09-14,2.3085,2.3085,2.3085,2.3085
1971-09-15,2.3084,2.3084,2.3084,2.3084
1971-09-16,2.3084,2.3084,2.3084,2.3084
1971-09-17,2.3098,2.3098,2.3098,2.3098
1971-09-20,2.3216,2.3216,2.3216,2.3216
1971-09-21,2.3163,2.3163,2.3163,2.3163
1971-09-22,2.3219,2.3219,2.3219,2.3219
1971-09-23,2.3303,2.3303,2.3303,2.3303
1971-09-24,2.3364,2.3364,2.3364,2.3364
1971-09-27,2.3359,2.3359,2.3359,2.3359
1971-09-28,2.3347,2.3347,2.3347,2.3347
1971-09-29,2.3306,2.3306,2.3306,2.3306
1971-09-30,2.3254,2.3254,2.3254,2.3254
1971-10-01,2.3255,2.3255,2.3255,2.3255
1971-10-04,2.3236,2.3236,2.3236,2.3236
1971-10-05,2.3243,2.3243,2.3243,2.3243
1971-10-06,2.3285,2.3285,2.3285,2.3285
1971-10-07,2.33,2.33,2.33,2.33
1971-10-08,2.3329,2.3329,2.3329,2.3329
1971-10-12,2.3287,2.3287,2.3287,2.3287
1971-10-13,2.3313,2.3313,2.3313,2.3313
1971-10-14,2.3269,2.3269,2.3269,2.3269
1971-10-15,2.3291,2.3291,2.3291,2.3291
1971-10-18,2.3309,2.3309,2.3309,2.3309
1971-10-19,2.3339,2.3339,2.3339,2.3339
1971-10-20,2.3359,2.3359,2.3359,2.3359
1971-10-21,2.334,2.334,2.334,2.334
1971-10-22,2.3282,2.3282,2.3282,2.3282
1971-10-26,2.3367,2.3367,2.3367,2.3367
1971-10-27,2.3374,2.3374,2.3374,2.3374
1971-10-28,2.3319,2.3319,2.3319,2.3319
1971-10-29,2.3325,2.3325,2.3325,2.3325
1971-11-01,2.3369,2.3369,2.3369,2.3369
1971-11-03,2.3329,2.3329,2.3329,2.3329
1971-11-04,2.3312,2.3312,2.3312,2.3312
1971-11-05,2.3309,2.3309,2.3309,2.3309
1971-11-08,2.3303,2.3303,2.3303,2.3303
1971-11-09,2.3285,2.3285,2.3285,2.3285
1971-11-10,2.3275,2.3275,2.3275,2.3275
1971-11-11,2.3291,2.3291,2.3291,2.3291
1971-11-12,2.3324,2.3324,2.3324,2.3324
1971-11-15,2.333,2.333,2.333,2.333
1971-11-16,2.3336,2.3336,2.3336,2.3336
1971-11-17,2.335,2.335,2.335,2.335
1971-11-18,2.3317,2.3317,2.3317,2.3317
1971-11-19,2.3294,2.3294,2.3294,2.3294
1971-11-22,2.3296,2.3296,2.3296,2.3296
1971-11-23,2.3266,2.3266,2.3266,2.3266
1971-11-24,2.3286,2.3286,2.3286,2.3286
1971-11-26,2.3316,2.3316,2.3316,2.3316
1971-11-29,2.3296,2.3296,2.3296,2.3296
1971-11-30,2.3296,2.3296,2.3296,2.3296
1971-12-01,2.331,2.331,2.331,2.331
1971-12-02,2.3322,2.3322,2.3322,2.3322
1971-12-03,2.3366,2.3366,2.3366,2.3366
1971-12-06,2.3374,2.3374,2.3374,2.3374
1971-12-07,2.3272,2.3272,2.3272,2.3272
1971-12-08,2.3292,2.3292,2.3292,2.3292
1971-12-09,2.325,2.325,2.325,2.325
1971-12-10,2.3212,2.3212,2.3212,2.3212
1971-12-13,2.3236,2.3236,2.3236,2.3236
1971-12-14,2.3266,2.3266,2.3266,2.3266
1971-12-15,2.3238,2.3238,2.3238,2.3238
1971-12-16,2.3249,2.3249,2.3249,2.3249
1971-12-17,2.3195,2.3195,2.3195,2.3195
1971-12-20,2.3228,2.3228,2.3228,2.3228
1971-12-21,2.325,2.325,2.325,2.325
1971-12-22,2.325,2.325,2.325,2.325
1971-12-23,2.3323,2.3323,2.3323,2.3323
1971-12-24,2.3336,2.3336,2.3336,2.3336
1971-12-27,2.3332,2.3332,2.3332,2.3332
1971-12-28,2.3305,2.3305,2.3305,2.3305
1971-12-29,2.3316,2.3316,2.3316,2.3316
1971-12-30,2.3385,2.3385,2.3385,2.3385
1971-12-31,2.3355,2.3355,2.3355,2.3355
1972-01-03,2.3356,2.3356,2.3356,2.3356
1972-01-04,2.3355,2.3355,2.3355,2.3355
