Date;Month;Day;weekDay;Open;High;Low;Close;absDiff;targetClose
2003-03-25;3;25;2;1,0637;1,0721;1,063;1,0649;0,0012;1,0683
2003-03-26;3;26;3;1,0651;1,0702;1,0619;1,0683;0,0032;1,069
2003-03-27;3;27;4;1,069;1,0743;1,0671;1,069;0;1,0756
2003-03-28;3;28;5;1,0684;1,0776;1,0671;1,0756;0,0072;1,0797
2003-03-30;3;30;7;1,0797;1,0797;1,0797;1,0797;0;1,0924
2003-03-31;3;31;1;1,0797;1,0926;1,0781;1,0924;0,0127;1,091
2003-04-01;4;1;2;1,092;1,0926;1,0861;1,091;0,001;1,0765
2003-04-02;4;2;3;1,091;1,0951;1,0749;1,0765;0,0145;1,0756
2003-04-03;4;3;4;1,077;1,0792;1,0681;1,0756;0,0014;1,072
2003-04-04;4;4;5;1,0735;1,0767;1,0683;1,072;0,0015;1,0665
2003-04-06;4;6;7;1,0665;1,0665;1,0665;1,0665;0;1,0691
2003-04-07;4;7;1;1,0665;1,0701;1,0558;1,0691;0,0026;1,0711
2003-04-08;4;8;2;1,0688;1,0725;1,0641;1,0711;0,0023;1,0771
2003-04-09;4;9;3;1,0714;1,0782;1,0669;1,0771;0,0057;1,0786
2003-04-10;4;10;4;1,077;1,0831;1,0757;1,0786;0,0016;1,075
2003-04-11;4;11;5;1,078;1,0787;1,0694;1,075;0,003;1,0745
2003-04-13;4;13;7;1,0745;1,0745;1,0745;1,0745;0;1,0771
2003-04-14;4;14;1;1,0745;1,0809;1,0713;1,0771;0,0026;1,0795
2003-04-15;4;15;2;1,077;1,0819;1,0729;1,0795;0,0025;1,091
2003-04-16;4;16;3;1,0799;1,092;1,078;1,091;0,0111;1,0888
2003-04-17;4;17;4;1,0953;1,0964;1,0886;1,0888;0,0065;1,0893
2003-04-20;4;20;7;1,0893;1,0893;1,0893;1,0893;0;1,0871
2003-04-21;4;21;1;1,0893;1,0908;1,0818;1,0871;0,0022;1,0969
2003-04-22;4;22;2;1,0861;1,1001;1,0844;1,0969;0,0108;1,096
2003-04-23;4;23;3;1,097;1,0982;1,0919;1,096;0,001;1,1031
2003-04-24;4;24;4;1,0955;1,1048;1,0941;1,1031;0,0076;1,1032
2003-04-25;4;25;5;1,1006;1,1052;1,0962;1,1032;0,0026;1,1035
2003-04-27;4;27;7;1,1035;1,1035;1,1035;1,1035;0;1,0983
2003-04-28;4;28;1;1,1035;1,1079;1,0974;1,0983;0,0052;1,1073
2003-04-29;4;29;2;1,0983;1,1086;1,093;1,1073;0,009;1,1182
2003-04-30;4;30;3;1,1073;1,1187;1,1061;1,1182;0,0109;1,1232
2003-05-01;5;1;4;1,118;1,1288;1,1149;1,1232;0,0052;1,12
2003-05-02;5;2;5;1,1239;1,1272;1,119;1,12;0,0039;1,1226
