Date,Open,High,Low,Close,Volume,OpenInt
2005-12-08,1.17130,1.18500,1.17010,1.18110,13288,0.0
2005-12-09,1.18100,1.18370,1.17640,1.18120,6400,0.0
2005-12-11,1.17870,1.17870,1.17870,1.17870,1,0.0
2005-12-12,1.17870,1.19760,1.17870,1.19550,17709,0.0
2005-12-13,1.19520,1.19710,1.19030,1.19460,7886,0.0
2005-12-14,1.19440,1.20510,1.19430,1.19740,6364,0.0
2005-12-15,1.19720,1.20390,1.19330,1.19630,4693,0.0
2005-12-16,1.19640,1.20280,1.19330,1.20130,8196,0.0
2005-12-18,1.20350,1.20350,1.20350,1.20350,1,0.0
2005-12-19,1.20350,1.20380,1.19740,1.20030,5026,0.0
2005-12-20,1.20030,1.20120,1.18370,1.18740,13065,0.0
2005-12-21,1.18690,1.19100,1.17970,1.18300,9005,0.0
2005-12-22,1.18300,1.18970,1.18080,1.18690,7985,0.0
2005-12-23,1.18700,1.18840,1.18300,1.18700,6196,0.0
2005-12-27,1.18360,1.18770,1.18220,1.18500,6651,0.0
2005-12-28,1.18530,1.19300,1.18110,1.18440,5865,0.0
2005-12-29,1.18450,1.18810,1.18130,1.18470,5558,0.0
2005-12-30,1.18480,1.18870,1.17760,1.18380,5905,0.0
2006-01-01,1.18390,1.18390,1.18390,1.18390,1,0.0
2006-01-02,1.18390,1.18670,1.18000,1.18120,6881,0.0
2006-01-03,1.18140,1.20340,1.18130,1.20300,18595,0.0
2006-01-04,1.20330,1.21340,1.20220,1.21100,11613,0.0
2006-01-05,1.21080,1.21220,1.20640,1.21040,7358,0.0
2006-01-06,1.21040,1.21810,1.20750,1.21390,8745,0.0
2006-01-08,1.21400,1.21400,1.21400,1.21400,1,0.0
2006-01-09,1.21400,1.21520,1.20530,1.20730,11700,0.0
2006-01-10,1.20720,1.21090,1.20340,1.20590,7657,0.0
2006-01-11,1.20580,1.21450,1.20420,1.21380,12732,0.0
2006-01-12,1.21360,1.21630,1.20040,1.20420,14556,0.0
2006-01-13,1.20430,1.21510,1.20270,1.21150,12735,0.0
2006-01-15,1.21340,1.21340,1.21340,1.21340,1,0.0
2006-01-16,1.21340,1.21650,1.21010,1.21150,7643,0.0
2006-01-17,1.21160,1.21400,1.20480,1.21060,6417,0.0
2006-01-18,1.21040,1.21590,1.20660,1.21050,5644,0.0
2006-01-19,1.21050,1.21200,1.20510,1.20890,6994,0.0
2006-01-20,1.20880,1.21460,1.20380,1.21330,9586,0.0
2006-01-22,1.21320,1.21670,1.21320,1.21660,270,0.0
2006-01-23,1.21670,1.23220,1.21640,1.23020,15001,0.0
2006-01-24,1.23040,1.23110,1.22540,1.22620,9692,0.0
