Date,Open,High,Low,Close
1971-01-04,0.5353,0.5353,0.5353,0.5353
1971-01-05,0.535,0.535,0.535,0.535
1971-01-06,0.5352,0.5352,0.5352,0.5352
1971-01-07,0.5353,0.5353,0.5353,0.5353
1971-01-08,0.5354,0.5354,0.5354,0.5354
1971-01-11,0.5355,0.5355,0.5355,0.5355
1971-01-12,0.5356,0.5356,0.5356,0.5356
1971-01-13,0.5357,0.5357,0.5357,0.5357
1971-01-14,0.5359,0.5359,0.5359,0.5359
1971-01-15,0.536,0.536,0.536,0.536
1971-01-18,0.5363,0.5363,0.5363,0.5363
1971-01-19,0.5363,0.5363,0.5363,0.5363
1971-01-20,0.5368,0.5368,0.5368,0.5368
1971-01-21,0.537,0.537,0.537,0.537
1971-01-22,0.5371,0.5371,0.5371,0.5371
1971-01-25,0.5372,0.5372,0.5372,0.5372
1971-01-26,0.5372,0.5372,0.5372,0.5372
1971-01-27,0.5372,0.5372,0.5372,0.5372
1971-01-28,0.5371,0.5371,0.5371,0.5371
1971-01-29,0.5371,0.5371,0.5371,0.5371
1971-02-01,0.5369,0.5369,0.5369,0.5369
1971-02-02,0.5369,0.5369,0.5369,0.5369
1971-02-03,0.5371,0.5371,0.5371,0.5371
1971-02-04,0.5372,0.5372,0.5372,0.5372
1971-02-05,0.5371,0.5371,0.5371,0.5371
1971-02-08,0.5371,0.5371,0.5371,0.5371
1971-02-09,0.5372,0.5372,0.5372,0.5372
1971-02-10,0.537,0.537,0.537,0.537
1971-02-11,0.5369,0.5369,0.5369,0.5369
1971-02-16,0.5372,0.5372,0.5372,0.5372
1971-02-17,0.5372,0.5372,0.5372,0.5372
1971-02-18,0.5371,0.5371,0.5371,0.5371
1971-02-19,0.5371,0.5371,0.5371,0.5371
1971-02-22,0.5372,0.5372,0.5372,0.5372
1971-02-23,0.5372,0.5372,0.5372,0.5372
1971-02-24,0.5372,0.5372,0.5372,0.5372
1971-02-25,0.5371,0.5371,0.5371,0.5371
1971-02-26,0.5363,0.5363,0.5363,0.5363
1971-03-01,0.5368,0.5368,0.5368,0.5368
1971-03-02,0.537,0.537,0.537,0.537
1971-03-03,0.5373,0.5373,0.5373,0.5373
1971-03-04,0.5369,0.5369,0.5369,0.5369
1971-03-05,0.537,0.537,0.537,0.537
1971-03-08,0.5372,0.5372,0.5372,0.5372
1971-03-09,0.5372,0.5372,0.5372,0.5372
1971-03-10,0.5371,0.5371,0.5371,0.5371
1971-03-11,0.5371,0.5371,0.5371,0.5371
1971-03-12,0.5368,0.5368,0.5368,0.5368
1971-03-15,0.5368,0.5368,0.5368,0.5368
1971-03-16,0.5367,0.5367,0.5367,0.5367
1971-03-17,0.5372,0.5372,0.5372,0.5372
1971-03-18,0.5371,0.5371,0.5371,0.5371
1971-03-19,0.5371,0.5371,0.5371,0.5371
1971-03-22,0.5371,0.5371,0.5371,0.5371
1971-03-23,0.5372,0.5372,0.5372,0.5372
1971-03-24,0.5372,0.5372,0.5372,0.5372
1971-03-25,0.537,0.537,0.537,0.537
1971-03-26,0.5371,0.5371,0.5371,0.5371
1971-03-29,0.537,0.537,0.537,0.537
1971-03-30,0.5372,0.5372,0.5372,0.5372
1971-03-31,0.5373,0.5373,0.5373,0.5373
1971-04-01,0.5373,0.5373,0.5373,0.5373
1971-04-02,0.5373,0.5373,0.5373,0.5373
1971-04-05,0.5371,0.5371,0.5371,0.5371
1971-04-06,0.5372,0.5372,0.5372,0.5372
1971-04-07,0.5369,0.5369,0.5369,0.5369
1971-04-08,0.537,0.537,0.537,0.537
1971-04-09,0.5369,0.5369,0.5369,0.5369
1971-04-12,0.5368,0.5368,0.5368,0.5368
1971-04-13,0.5365,0.5365,0.5365,0.5365
1971-04-14,0.5366,0.5366,0.5366,0.5366
1971-04-15,0.5367,0.5367,0.5367,0.5367
1971-04-16,0.5363,0.5363,0.5363,0.5363
1971-04-19,0.5354,0.5354,0.5354,0.5354
1971-04-20,0.5358,0.5358,0.5358,0.5358
1971-04-21,0.5363,0.5363,0.5363,0.5363
1971-04-22,0.5364,0.5364,0.5364,0.5364
1971-04-23,0.536,0.536,0.536,0.536
1971-04-26,0.5361,0.5361,0.5361,0.5361
1971-04-27,0.5364,0.5364,0.5364,0.5364
1971-04-28,0.5371,0.5371,0.5371,0.5371
1971-04-29,0.5369,0.5369,0.5369,0.5369
1971-04-30,0.5369,0.5369,0.5369,0.5369
1971-05-03,0.5372,0.5372,0.5372,0.5372
1971-05-04,0.5373,0.5373,0.5373,0.5373
1971-05-05,0.5448,0.5448,0.5448,0.5448
1971-05-06,0.5445,0.5445,0.5445,0.5445
1971-05-07,0.5464,0.5464,0.5464,0.5464
1971-05-10,0.5511,0.5511,0.5511,0.5511
1971-05-11,0.5463,0.5463,0.5463,0.5463
1971-05-12,0.5477,0.5477,0.5477,0.5477
1971-05-13,0.5502,0.5502,0.5502,0.5502
1971-05-14,0.5498,0.5498,0.5498,0.5498
1971-05-17,0.5499,0.5499,0.5499,0.5499
1971-05-18,0.55,0.55,0.55,0.55
1971-05-19,0.5523,0.5523,0.5523,0.5523
1971-05-20,0.5561,0.5561,0.5561,0.5561
1971-05-21,0.557,0.557,0.557,0.557
1971-05-24,0.5559,0.5559,0.5559,0.5559
1971-05-25,0.5513,0.5513,0.5513,0.5513
1971-05-26,0.5499,0.5499,0.5499,0.5499
1971-05-27,0.5501,0.5501,0.5501,0.5501
1971-05-28,0.5496,0.5496,0.5496,0.5496
1971-06-01,0.5465,0.5465,0.5465,0.5465
1971-06-02,0.5494,0.5494,0.5494,0.5494
1971-06-03,0.5529,0.5529,0.5529,0.5529
1971-06-04,0.5532,0.5532,0.5532,0.5532
1971-06-07,0.5537,0.5537,0.5537,0.5537
1971-06-08,0.5544,0.5544,0.5544,0.5544
1971-06-09,0.5553,0.5553,0.5553,0.5553
1971-06-10,0.5556,0.5556,0.5556,0.5556
1971-06-11,0.556,0.556,0.556,0.556
1971-06-14,0.556,0.556,0.556,0.556
1971-06-15,0.5562,0.5562,0.5562,0.5562
1971-06-16,0.5565,0.5565,0.5565,0.5565
1971-06-17,0.5566,0.5566,0.5566,0.5566
1971-06-18,0.5565,0.5565,0.5565,0.5565
1971-06-21,0.5565,0.5565,0.5565,0.5565
1971-06-22,0.5569,0.5569,0.5569,0.5569
1971-06-23,0.558,0.558,0.558,0.558
1971-06-24,0.5577,0.5577,0.5577,0.5577
1971-06-25,0.557,0.557,0.557,0.557
1971-06-28,0.5569,0.5569,0.5569,0.5569
1971-06-29,0.5573,0.5573,0.5573,0.5573
1971-06-30,0.5577,0.5577,0.5577,0.5577
1971-07-01,0.5574,0.5574,0.5574,0.5574
1971-07-02,0.5571,0.5571,0.5571,0.5571
1971-07-06,0.557,0.557,0.557,0.557
1971-07-07,0.5573,0.5573,0.5573,0.5573
1971-07-08,0.5572,0.5572,0.5572,0.5572
1971-07-09,0.5571,0.5571,0.5571,0.5571
1971-07-12,0.5571,0.5571,0.5571,0.5571
1971-07-13,0.5572,0.5572,0.5572,0.5572
1971-07-14,0.5589,0.5589,0.5589,0.5589
1971-07-15,0.5598,0.5598,0.5598,0.5598
1971-07-16,0.5614,0.5614,0.5614,0.5614
1971-07-19,0.5615,0.5615,0.5615,0.5615
1971-07-20,0.5612,0.5612,0.5612,0.5612
1971-07-21,0.5622,0.5622,0.5622,0.5622
1971-07-22,0.5628,0.5628,0.5628,0.5628
1971-07-23,0.5629,0.5629,0.5629,0.5629
1971-07-26,0.563,0.563,0.563,0.563
1971-07-27,0.5636,0.5636,0.5636,0.5636
1971-07-28,0.5632,0.5632,0.5632,0.5632
1971-07-29,0.5637,0.5637,0.5637,0.5637
1971-07-30,0.5636,0.5636,0.5636,0.5636
1971-08-02,0.5635,0.5635,0.5635,0.5635
1971-08-03,0.5635,0.5635,0.5635,0.5635
1971-08-04,0.5651,0.5651,0.5651,0.5651
1971-08-05,0.5662,0.5662,0.5662,0.5662
1971-08-06,0.5658,0.5658,0.5658,0.5658
1971-08-09,0.572,0.572,0.572,0.572
1971-08-10,0.5721,0.5721,0.5721,0.5721
1971-08-11,0.5728,0.5728,0.5728,0.5728
1971-08-12,0.576,0.576,0.576,0.576
1971-08-13,0.5755,0.5755,0.5755,0.5755
1971-08-16,0.5739,0.5739,0.5739,0.5739
1971-08-17,0.5759,0.5759,0.5759,0.5759
1971-08-18,0.5727,0.5727,0.5727,0.5727
1971-08-19,0.5715,0.5715,0.5715,0.5715
1971-08-20,0.5688,0.5688,0.5688,0.5688
1971-08-23,0.5695,0.5695,0.5695,0.5695
1971-08-24,0.5735,0.5735,0.5735,0.5735
1971-08-25,0.5755,0.5755,0.5755,0.5755
1971-08-26,0.5744,0.5744,0.5744,0.5744
1971-08-27,0.5735,0.5735,0.5735,0.5735
1971-08-30,0.5736,0.5736,0.5736,0.5736
1971-08-31,0.5739,0.5739,0.5739,0.5739
1971-09-01,0.5742,0.5742,0.5742,0.5742
1971-09-02,0.5752,0.5752,0.5752,0.5752
1971-09-03,0.5756,0.5756,0.5756,0.5756
1971-09-07,0.5752,0.5752,0.5752,0.5752
1971-09-08,0.5749,0.5749,0.5749,0.5749
1971-09-09,0.5748,0.5748,0.5748,0.5748
1971-09-10,0.5761,0.5761,0.5761,0.5761
1971-09-13,0.5762,0.5762,0.5762,0.5762
1971-09-14,0.5786,0.5786,0.5786,0.5786
1971-09-15,0.5792,0.5792,0.5792,0.5792
1971-09-16,0.5791,0.5791,0.5791,0.5791
1971-09-17,0.5794,0.5794,0.5794,0.5794
1971-09-20,0.5846,0.5846,0.5846,0.5846
1971-09-21,0.5827,0.5827,0.5827,0.5827
1971-09-22,0.5846,0.5846,0.5846,0.5846
1971-09-23,0.589,0.589,0.589,0.589
1971-09-24,0.5885,0.5885,0.5885,0.5885
1971-09-27,0.5885,0.5885,0.5885,0.5885
1971-09-28,0.5884,0.5884,0.5884,0.5884
1971-09-29,0.5886,0.5886,0.5886,0.5886
1971-09-30,0.5881,0.5881,0.5881,0.5881
1971-10-01,0.5874,0.5874,0.5874,0.5874
1971-10-04,0.5868,0.5868,0.5868,0.5868
1971-10-05,0.587,0.587,0.587,0.587
1971-10-06,0.588,0.588,0.588,0.588
1971-10-07,0.5883,0.5883,0.5883,0.5883
1971-10-08,0.5882,0.5882,0.5882,0.5882
1971-10-12,0.5866,0.5866,0.5866,0.5866
1971-10-13,0.586,0.586,0.586,0.586
1971-10-14,0.5843,0.5843,0.5843,0.5843
1971-10-15,0.5847,0.5847,0.5847,0.5847
1971-10-18,0.5867,0.5867,0.5867,0.5867
1971-10-19,0.5872,0.5872,0.5872,0.5872
1971-10-20,0.5876,0.5876,0.5876,0.5876
1971-10-21,0.5868,0.5868,0.5868,0.5868
1971-10-22,0.585,0.585,0.585,0.585
1971-10-26,0.5854,0.5854,0.5854,0.5854
1971-10-27,0.5851,0.5851,0.5851,0.5851
1971-10-28,0.5847,0.5847,0.5847,0.5847
1971-10-29,0.5842,0.5842,0.5842,0.5842
1971-11-01,0.5848,0.5848,0.5848,0.5848
1971-11-03,0.5844,0.5844,0.5844,0.5844
1971-11-04,0.5841,0.5841,0.5841,0.5841
1971-11-05,0.584,0.584,0.584,0.584
1971-11-08,0.5833,0.5833,0.5833,0.5833
1971-11-09,0.5829,0.5829,0.5829,0.5829
1971-11-10,0.5824,0.5824,0.5824,0.5824
1971-11-11,0.583,0.583,0.583,0.583
1971-11-12,0.5839,0.5839,0.5839,0.5839
1971-11-15,0.584,0.584,0.584,0.584
1971-11-16,0.5841,0.5841,0.5841,0.5841
1971-11-17,0.5843,0.5843,0.5843,0.5843
1971-11-18,0.5834,0.5834,0.5834,0.5834
1971-11-19,0.5847,0.5847,0.5847,0.5847
