Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1971-01-04,100,100,100,100
1971-01-05,99.97,99.97,99.97,99.97
1971-01-06,99.95,99.95,99.95,99.95
1971-01-07,99.94,99.94,99.94,99.94
1971-01-08,99.93,99.93,99.93,99.93
1971-01-11,99.91,99.91,99.91,99.91
1971-01-12,99.89,99.89,99.89,99.89
1971-01-13,99.9,99.9,99.9,99.9
1971-01-14,99.83,99.83,99.83,99.83
1971-01-15,99.82,99.82,99.82,99.82
1971-01-18,99.79,99.79,99.79,99.79
1971-01-19,99.75,99.75,99.75,99.75
1971-01-20,99.73,99.73,99.73,99.73
1971-01-21,99.71,99.71,99.71,99.71
1971-01-22,99.66,99.66,99.66,99.66
1971-01-25,99.6,99.6,99.6,99.6
1971-01-26,99.58,99.58,99.58,99.58
1971-01-27,99.57,99.57,99.57,99.57
1971-01-28,99.57,99.57,99.57,99.57
1971-01-29,99.55,99.55,99.55,99.55
1971-02-01,99.54,99.54,99.54,99.54
1971-02-02,99.54,99.54,99.54,99.54
1971-02-03,99.52,99.52,99.52,99.52
1971-02-04,99.54,99.54,99.54,99.54
1971-02-05,99.56,99.56,99.56,99.56
1971-02-08,99.53,99.53,99.53,99.53
1971-02-09,99.55,99.55,99.55,99.55
1971-02-10,99.55,99.55,99.55,99.55
1971-02-11,99.56,99.56,99.56,99.56
1971-02-16,99.51,99.51,99.51,99.51
1971-02-17,99.51,99.51,99.51,99.51
1971-02-18,99.52,99.52,99.52,99.52
1971-02-19,99.52,99.52,99.52,99.52
1971-02-22,99.52,99.52,99.52,99.52
1971-02-23,99.51,99.51,99.51,99.51
1971-02-24,99.55,99.55,99.55,99.55
1971-02-25,99.6,99.6,99.6,99.6
1971-02-26,99.65,99.65,99.65,99.65
1971-03-01,99.63,99.63,99.63,99.63
1971-03-02,99.58,99.58,99.58,99.58
1971-03-03,99.54,99.54,99.54,99.54
1971-03-04,99.6,99.6,99.6,99.6
1971-03-05,99.6,99.6,99.6,99.6
1971-03-08,99.54,99.54,99.54,99.54
1971-03-09,99.54,99.54,99.54,99.54
1971-03-10,99.57,99.57,99.57,99.57
1971-03-11,99.55,99.55,99.55,99.55
1971-03-12,99.56,99.56,99.56,99.56
1971-03-15,99.55,99.55,99.55,99.55
1971-03-16,99.57,99.57,99.57,99.57
1971-03-17,99.53,99.53,99.53,99.53
1971-03-18,99.54,99.54,99.54,99.54
1971-03-19,99.52,99.52,99.52,99.52
1971-03-22,99.51,99.51,99.51,99.51
1971-03-23,99.51,99.51,99.51,99.51
1971-03-24,99.51,99.51,99.51,99.51
1971-03-25,99.53,99.53,99.53,99.53
1971-03-26,99.51,99.51,99.51,99.51
1971-03-29,99.51,99.51,99.51,99.51
1971-03-30,99.52,99.52,99.52,99.52
1971-03-31,99.51,99.51,99.51,99.51
1971-04-01,99.54,99.54,99.54,99.54
1971-04-02,99.56,99.56,99.56,99.56
1971-04-05,99.55,99.55,99.55,99.55
1971-04-06,99.52,99.52,99.52,99.52
1971-04-07,99.56,99.56,99.56,99.56
1971-04-08,99.53,99.53,99.53,99.53
1971-04-09,99.54,99.54,99.54,99.54
1971-04-12,99.56,99.56,99.56,99.56
1971-04-13,99.61,99.61,99.61,99.61
1971-04-14,99.58,99.58,99.58,99.58
1971-04-15,99.56,99.56,99.56,99.56
1971-04-16,99.6,99.6,99.6,99.6
1971-04-19,99.64,99.64,99.64,99.64
1971-04-20,99.62,99.62,99.62,99.62
1971-04-21,99.57,99.57,99.57,99.57
1971-04-22,99.57,99.57,99.57,99.57
1971-04-23,99.6,99.6,99.6,99.6
1971-04-26,99.59,99.59,99.59,99.59
1971-04-27,99.56,99.56,99.56,99.56
1971-04-28,99.51,99.51,99.51,99.51
1971-04-29,99.51,99.51,99.51,99.51
