Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-06-02,15.455,15.455,15.455,15.455,396279
1998-06-03,16.98,16.98,16.98,16.98,151914
1998-06-04,18.505,18.505,18.505,18.505,449911
1998-06-05,18.73,18.73,18.73,18.73,172921
1998-06-08,18.652,18.652,18.652,18.652,97271
1998-06-09,17.89,17.89,17.89,17.89,67189
1998-06-10,16.444,16.444,16.444,16.444,134233
1998-06-15,15.455,15.455,15.455,15.455,221938
1998-06-16,15.992,15.992,15.992,15.992,183590
1998-06-17,17.509,17.509,17.509,17.509,112971
1998-06-18,17.812,17.812,17.812,17.812,97708
1998-06-19,17.664,17.664,17.664,17.664,133641
1998-06-22,18.123,18.123,18.123,18.123,191271
1998-06-23,18.652,18.652,18.652,18.652,183778
1998-06-24,18.652,18.652,18.652,18.652,65336
1998-06-25,18.652,18.652,18.652,18.652,74603
1998-06-26,19.258,19.258,19.258,19.258,271412
1998-06-29,19.641,19.641,19.641,19.641,123496
1998-06-30,19.796,19.796,19.796,19.796,110655
1998-07-01,20.783,20.783,20.783,20.783,143645
1998-07-02,21.164,21.164,21.164,21.164,121915
1998-07-03,21.701,21.701,21.701,21.701,128183
1998-07-06,22.456,22.456,22.456,22.456,146677
1998-07-07,23.07,23.07,23.07,23.07,283729
1998-07-08,22.837,22.837,22.837,22.837,88295
1998-07-09,21.701,21.701,21.701,21.701,197145
1998-07-10,21.701,21.701,21.701,21.701,85560
1998-07-13,23.218,23.218,23.218,23.218,35098
1998-07-14,24.968,24.968,24.968,24.968,174810
1998-07-15,24.968,24.968,24.968,24.968,105281
1998-07-16,24.742,24.742,24.742,24.742,67301
1998-07-17,25.35,25.35,25.35,25.35,116703
1998-07-20,24.742,26.493,24.742,26.267,103138
1998-07-21,26.493,26.493,25.731,25.886,150694
1998-07-22,25.35,25.35,24.742,24.968,127444
1998-07-23,25.124,26.493,25.124,26.112,117088
1998-07-24,25.505,26.267,25.505,25.886,109191
1998-07-27,25.731,25.731,24.361,24.595,98241
1998-07-28,24.742,24.742,23.98,24.214,140055
1998-07-29,23.599,24.214,23.07,24.214,154630
1998-07-30,24.361,24.968,23.98,24.214,76046
1998-07-31,24.968,24.968,24.361,24.595,81686
1998-08-03,23.98,24.361,23.832,24.214,255065
1998-08-04,24.361,25.505,24.361,25.505,91253
1998-08-05,24.742,25.505,24.742,25.124,133133
1998-08-06,25.886,26.493,25.35,25.505,129553
1998-08-07,26.267,27.411,25.886,27.411,164177
1998-08-10,26.648,27.411,26.648,27.029,119881
1998-08-11,26.112,26.112,24.214,24.595,198021
1998-08-12,25.886,26.112,24.968,25.505,182304
1998-08-13,24.361,24.361,23.451,23.98,212965
1998-08-14,24.742,25.505,24.742,25.35,80754
1998-08-17,23.98,24.361,23.832,24.214,77773
1998-08-18,25.124,25.505,25.124,25.124,95887
1998-08-19,26.112,26.112,25.124,25.886,135580
1998-08-20,25.731,25.886,25.505,25.731,189068
1998-08-21,24.214,24.595,23.98,24.595,135804
1998-08-24,25.124,25.124,24.595,24.595,70516
1998-08-25,25.505,25.731,25.35,25.35,120224
1998-08-26,24.595,24.595,23.98,23.98,61534
1998-08-27,23.07,23.07,21.321,21.321,93476
1998-08-28,20.783,21.927,20.021,21.321,125600
1998-08-31,21.701,21.701,21.321,21.545,161706
1998-09-01,19.796,20.939,19.796,20.558,105925
1998-09-02,21.701,22.689,21.701,22.308,157310
1998-09-03,21.321,21.321,20.402,20.402,74794
1998-09-04,21.321,22.083,21.321,21.927,162223
1998-09-07,23.07,23.451,22.308,22.689,135096
1998-09-08,23.07,23.832,22.837,23.832,143650
1998-09-09,22.837,22.837,22.083,22.308,99099
1998-09-10,22.456,22.837,22.083,22.083,180794
1998-09-11,21.701,21.927,21.701,21.701,115692
1998-09-14,22.689,22.837,22.308,22.689,63343
1998-09-15,22.689,22.689,21.927,21.927,43353
1998-09-16,22.083,22.083,21.927,21.927,65995
1998-09-17,20.939,20.939,20.177,20.177,83315
1998-09-18,20.177,20.939,20.177,20.939,45810
1998-09-21,20.558,20.558,20.177,20.177,183597
1998-09-22,21.321,22.083,21.321,21.701,82928
1998-09-23,22.689,23.07,22.689,22.837,143702
1998-09-24,24.361,24.361,23.599,23.599,97919
1998-09-25,23.218,23.451,22.837,23.218,108858
1998-09-28,23.98,24.361,23.832,24.361,69613
1998-09-29,25.35,25.886,25.124,25.731,144640
1998-09-30,25.35,25.35,24.361,25.124,99047
1998-10-01,23.98,23.98,23.218,23.599,53245
1998-10-02,22.837,23.98,22.837,23.832,59636
1998-10-05,23.832,24.361,23.599,23.599,34431
1998-10-06,23.98,24.214,23.98,24.214,48348
1998-10-07,24.742,24.742,24.361,24.361,96123
1998-10-08,24.968,24.968,24.214,24.214,80993
1998-10-09,24.742,24.742,24.214,24.742,93509
1998-10-12,25.731,25.731,25.35,25.505,64451
1998-10-13,25.124,25.124,24.968,24.968,34305
1998-10-14,25.35,25.35,24.595,25.35,17455
1998-10-15,25.886,25.886,25.124,25.124,42825
1998-10-16,25.886,26.267,25.505,26.267,29603
1998-10-19,26.267,26.267,25.505,25.505,7717
1998-10-20,26.267,26.874,26.267,26.874,114620
1998-10-21,26.648,27.255,26.493,27.255,41219
1998-10-22,27.255,28.927,27.255,28.398,40043
1998-10-23,28.554,29.689,28.554,28.554,64028
1998-10-26,28.554,29.16,28.173,28.779,63710
